STUDENT NAME,DOB,FATHER/GUARDIAN NAME,AADHAR NO,GENDER,EMAIL,CONTACT NO,ADDRESS,CITY,STATE,PINCODE
Grant Harper,10-09-2001,Zavier Lloyd,1060 1010 1010,Male,asfdasdfjkh@gmail.com,69,Mogappair,Chennai,CHANDIGHR,384999
Maxwell Reilly,07-10-2001,Yazmin Griffin,1061 1010 1010,Female,asfdasdfjkh@gmail.com,70,Mogappair,Chennai,CHANDIGHR,385000
Riya Dunlap,02-02-2002,Ansley Bautista,1062 1010 1010,Female,asfdasdfjkh@gmail.com,71,Mogappair,Chennai,CHANDIGHR,385001
Thalia Montoya,08-04-2002,Shaun Boyle,1063 1010 1010,Male,asfdasdfjkh@gmail.com,72,Mogappair,Chennai,CHANDIGHR,385002
Wilson Kent,15-01-2001,Eugene Lang,1064 1010 1010,Male,asfdasdfjkh@gmail.com,73,Mogappair,Chennai,CHANDIGHR,385003
Olive Mullins,08-03-2001,Nyla Middleton,1065 1010 1010,Female,asfdasdfjkh@gmail.com,74,Mogappair,Chennai,CHANDIGHR,385004
Deven Simmons,14-03-2001,Gracie Dyer,1066 1010 1010,Male,asfdasdfjkh@gmail.com,75,Mogappair,Chennai,CHANDIGHR,385005
Emma Shepherd,10-06-2001,Haiden Montgomery,1067 1010 1010,Female,asfdasdfjkh@gmail.com,76,Mogappair,Chennai,CHANDIGHR,385006
Donna Valenzuela,05-07-2001,Marina Rosario,1068 1010 1010,Female,asfdasdfjkh@gmail.com,77,Mogappair,Chennai,CHANDIGHR,385007
Azul Kaiser,10-09-2001,Gage Marsh,1069 1010 1010,Female,asfdasdfjkh@gmail.com,78,Mogappair,Chennai,CHANDIGHR,385008
Amina Brandt,07-10-2001,Amiyah Merritt,1070 1010 1010,Male,asfdasdfjkh@gmail.com,79,Mogappair,Chennai,CHANDIGHR,385009
Dangelo Everett,02-02-2002,Hazel Bridges,1071 1010 1010,Female,asfdasdfjkh@gmail.com,80,Mogappair,Chennai,CHANDIGHR,385010
Virginia Kramer,08-04-2002,Sergio Graves,1072 1010 1010,Male,asfdasdfjkh@gmail.com,81,Mogappair,Chennai,CHANDIGHR,385011
Chris Mcfarland,15-01-2001,Roy Jenkins,1073 1010 1010,Female,asfdasdfjkh@gmail.com,82,Mogappair,Chennai,CHANDIGHR,385012
Makenzie Oneal,08-03-2001,Austin Garrison,1074 1010 1010,Male,asfdasdfjkh@gmail.com,83,Mogappair,Chennai,CHANDIGHR,385013
Sariah Bass,14-03-2001,Alice Oconnor,1075 1010 1010,Female,asfdasdfjkh@gmail.com,84,Mogappair,Chennai,CHANDIGHR,385014
Santino Houston,10-06-2001,Deandre Abbott,1076 1010 1010,Female,asfdasdfjkh@gmail.com,85,Mogappair,Chennai,CHANDIGHR,385015
Danica Little,05-07-2001,Demarion Shea,1077 1010 1010,Male,asfdasdfjkh@gmail.com,86,Mogappair,Chennai,CHANDIGHR,385016
Selah Gamble,10-09-2001,Luz Duarte,1078 1010 1010,Male,asfdasdfjkh@gmail.com,87,Mogappair,Chennai,CHANDIGHR,385017
Camron Krueger,07-10-2001,Lane Hess,1079 1010 1010,Male,asfdasdfjkh@gmail.com,88,Mogappair,Chennai,CHANDIGHR,385018
Alden Drake,02-02-2002,Tess Diaz,1080 1010 1010,Female,asfdasdfjkh@gmail.com,89,Mogappair,Chennai,CHANDIGHR,385019
Alisa Guerra,08-04-2002,Yahir Brady,1081 1010 1010,Female,asfdasdfjkh@gmail.com,90,Mogappair,Chennai,CHANDIGHR,385020
Annika Gomez,15-01-2001,Omar Gibson,1082 1010 1010,Male,asfdasdfjkh@gmail.com,91,Mogappair,Chennai,CHANDIGHR,385021
Cohen House,08-03-2001,Jaden English,1083 1010 1010,Female,asfdasdfjkh@gmail.com,92,Mogappair,Chennai,CHANDIGHR,385022
Angela Brock,14-03-2001,Kamari Brown,1084 1010 1010,Male,asfdasdfjkh@gmail.com,93,Mogappair,Chennai,CHANDIGHR,385023
Trevor Wood,10-06-2001,Beckett Sexton,1085 1010 1010,Male,asfdasdfjkh@gmail.com,94,Mogappair,Chennai,CHANDIGHR,385024
Sebastian Hensley,05-07-2001,Guillermo Fowler,1086 1010 1010,Female,asfdasdfjkh@gmail.com,95,Mogappair,Chennai,CHANDIGHR,385025
Jazlene Harvey,10-09-2001,Shyanne Huff,1087 1010 1010,Male,asfdasdfjkh@gmail.com,96,Mogappair,Chennai,CHANDIGHR,385026
Deon Willis,07-10-2001,Kaylie Nunez,1088 1010 1010,Female,asfdasdfjkh@gmail.com,97,Mogappair,Chennai,CHANDIGHR,385027
Rafael Cameron,02-02-2002,Carolyn Lin,1089 1010 1010,Male,asfdasdfjkh@gmail.com,98,Mogappair,Chennai,CHANDIGHR,385028
Alessandro Newton,08-04-2002,Deacon Christian,1090 1010 1010,Female,asfdasdfjkh@gmail.com,99,Mogappair,Chennai,CHANDIGHR,385029
Cooper Lane,15-01-2001,Griffin Daniel,1091 1010 1010,Male,asfdasdfjkh@gmail.com,100,Mogappair,Chennai,CHANDIGHR,385030
Olive Benson,08-03-2001,Jonathan Crane,1092 1010 1010,Female,asfdasdfjkh@gmail.com,101,Mogappair,Chennai,CHANDIGHR,385031
Demetrius Herring,14-03-2001,Teagan Oliver,1093 1010 1010,Female,asfdasdfjkh@gmail.com,102,Mogappair,Chennai,CHANDIGHR,385032
Erica Forbes,10-06-2001,Alexander Maddox,1094 1010 1010,Female,asfdasdfjkh@gmail.com,103,Mogappair,Chennai,CHANDIGHR,385033
Alexandra Moses,05-07-2001,Kassandra Price,1095 1010 1010,Male,asfdasdfjkh@gmail.com,104,Mogappair,Chennai,CHANDIGHR,385034
Kenna Watts,10-09-2001,Hunter Carrillo,1096 1010 1010,Female,asfdasdfjkh@gmail.com,105,Mogappair,Chennai,CHANDIGHR,385035
Jovany Stone,07-10-2001,Skyler Tate,1097 1010 1010,Female,asfdasdfjkh@gmail.com,106,Mogappair,Chennai,CHANDIGHR,385036
Selah Brandt,02-02-2002,Franklin Moss,1098 1010 1010,Male,asfdasdfjkh@gmail.com,107,Mogappair,Chennai,CHANDIGHR,385037
Meghan Hancock,08-04-2002,Cheyenne Noble,1099 1010 1010,Male,asfdasdfjkh@gmail.com,108,Mogappair,Chennai,CHANDIGHR,385038
