STUDENT NAME,DOB,FATHER/GUARDIAN NAME,AADHAR NO,GENDER,EMAIL,CONTACT NO,ADDRESS,CITY,STATE,PINCODE
Francisco Schaefer,08-04-2002,Gillian Zhang,1018 1010 1010,Female,asfdasdfjkh@gmail.com,8987443782,Mogappair,Chennai,CHANDIGHR,384957
Jeremiah Moreno,15-01-2001,Augustus Novak,1019 1010 1010,Male,asfdasdfjkh@gmail.com,8987443783,Mogappair,Chennai,CHANDIGHR,384958
Jamir Odonnell,08-03-2001,Krish Myers,1020 1010 1010,Female,asfdasdfjkh@gmail.com,8987443784,Mogappair,Chennai,CHANDIGHR,384959
Karli Mcbride,14-03-2001,Rayna Butler,1021 1010 1010,Male,asfdasdfjkh@gmail.com,8987443785,Mogappair,Chennai,CHANDIGHR,384960
Jasmine Walter,10-06-2001,Dallas Jackson,1022 1010 1010,Female,asfdasdfjkh@gmail.com,8987443786,Mogappair,Chennai,CHANDIGHR,384961
Rose Lozano,05-07-2001,Laila Lopez,1023 1010 1010,Male,asfdasdfjkh@gmail.com,8987443787,Mogappair,Chennai,CHANDIGHR,384962
Taliyah Vance,10-09-2001,Marissa Franco,1024 1010 1010,Male,asfdasdfjkh@gmail.com,8987443788,Mogappair,Chennai,CHANDIGHR,384963
Konner Stone,07-10-2001,Kole Meadows,1025 1010 1010,Female,asfdasdfjkh@gmail.com,8987443789,Mogappair,Chennai,CHANDIGHR,384964
Sebastian Lutz,02-02-2002,Lainey Henson,1026 1010 1010,Female,asfdasdfjkh@gmail.com,8987443790,Mogappair,Chennai,CHANDIGHR,384965
Mekhi Little,08-04-2002,Danika Chavez,1027 1010 1010,Male,asfdasdfjkh@gmail.com,8987443791,Mogappair,Chennai,CHANDIGHR,384966
Harley Ramos,15-01-2001,Ryland Hebert,1028 1010 1010,Female,asfdasdfjkh@gmail.com,8987443792,Mogappair,Chennai,CHANDIGHR,384967
Martha Suarez,08-03-2001,Martha Matthews,1029 1010 1010,Male,asfdasdfjkh@gmail.com,8987443793,Mogappair,Chennai,CHANDIGHR,384968
Logan Houston,14-03-2001,Aylin Hess,1030 1010 1010,Female,asfdasdfjkh@gmail.com,8987443794,Mogappair,Chennai,CHANDIGHR,384969
Yael Rios,10-06-2001,Parker Weiss,1031 1010 1010,Male,asfdasdfjkh@gmail.com,8987443795,Mogappair,Chennai,CHANDIGHR,384970
Bronson Hoover,05-07-2001,Kimberly Wheeler,1032 1010 1010,Female,asfdasdfjkh@gmail.com,8987443796,Mogappair,Chennai,CHANDIGHR,384971
Franco Spence,10-09-2001,Makena Harrell,1033 1010 1010,Female,asfdasdfjkh@gmail.com,8987443797,Mogappair,Chennai,CHANDIGHR,384972
Jamie Montes,07-10-2001,Hailee Finley,1034 1010 1010,Male,asfdasdfjkh@gmail.com,8987443798,Mogappair,Chennai,CHANDIGHR,384973
Sophie Pope,02-02-2002,Brady Cardenas,1035 1010 1010,Male,asfdasdfjkh@gmail.com,8987443799,Mogappair,Chennai,CHANDIGHR,384974
Harold Norton,08-04-2002,Evan Long,1036 1010 1010,Female,asfdasdfjkh@gmail.com,8987443800,Mogappair,Chennai,CHANDIGHR,384975
Natalya Henson,15-01-2001,Sarahi Villanueva,1037 1010 1010,Male,asfdasdfjkh@gmail.com,8987443801,Mogappair,Chennai,CHANDIGHR,384976
Brenton Kelly,08-03-2001,Jadiel Wiggins,1038 1010 1010,Female,asfdasdfjkh@gmail.com,8987443802,Mogappair,Chennai,CHANDIGHR,384977
Kyson Zavala,14-03-2001,Dominique Douglas,1039 1010 1010,Female,asfdasdfjkh@gmail.com,8987443803,Mogappair,Chennai,CHANDIGHR,384978
Enrique Montes,10-06-2001,Caroline Bush,1040 1010 1010,Male,asfdasdfjkh@gmail.com,8987443804,Mogappair,Chennai,CHANDIGHR,384979
Kaiden Jenkins,05-07-2001,Abraham Hoover,1041 1010 1010,Female,asfdasdfjkh@gmail.com,8987443805,Mogappair,Chennai,CHANDIGHR,384980
Cruz Harrison,10-09-2001,Jaylen May,1042 1010 1010,Female,asfdasdfjkh@gmail.com,8987443806,Mogappair,Chennai,CHANDIGHR,384981
Paula Hamilton,07-10-2001,Madyson Mccoy,1043 1010 1010,Male,asfdasdfjkh@gmail.com,8987443807,Mogappair,Chennai,CHANDIGHR,384982
Anastasia Landry,02-02-2002,Selina Cline,1044 1010 1010,Female,asfdasdfjkh@gmail.com,8987443808,Mogappair,Chennai,CHANDIGHR,384983
Ramon Quinn,08-04-2002,Maximo Hancock,1045 1010 1010,Female,asfdasdfjkh@gmail.com,8987443809,Mogappair,Chennai,CHANDIGHR,384984
Jordon Melton,15-01-2001,Ernest Clarke,1046 1010 1010,Male,asfdasdfjkh@gmail.com,8987443810,Mogappair,Chennai,CHANDIGHR,384985
Kiana Olson,08-03-2001,Avah Graham,1047 1010 1010,Male,asfdasdfjkh@gmail.com,8987443811,Mogappair,Chennai,CHANDIGHR,384986
Yusuf Heath,14-03-2001,Emery Dyer,1048 1010 1010,Male,asfdasdfjkh@gmail.com,8987443812,Mogappair,Chennai,CHANDIGHR,384987
Regan Dodson,10-06-2001,Hanna Roman,1049 1010 1010,Female,asfdasdfjkh@gmail.com,8987443813,Mogappair,Chennai,CHANDIGHR,384988
Nola Guerrero,05-07-2001,Elias Carney,1050 1010 1010,Male,asfdasdfjkh@gmail.com,8987443814,Mogappair,Chennai,CHANDIGHR,384989
Antoine Benton,10-09-2001,Cayden May,1051 1010 1010,Female,asfdasdfjkh@gmail.com,8987443815,Mogappair,Chennai,CHANDIGHR,384990
Dangelo Espinoza,07-10-2001,Chasity Adams,1052 1010 1010,Female,asfdasdfjkh@gmail.com,8987443816,Mogappair,Chennai,CHANDIGHR,384991
Urijah Carey,02-02-2002,Dallas Booker,1053 1010 1010,Female,asfdasdfjkh@gmail.com,8987443817,Mogappair,Chennai,CHANDIGHR,384992
Anton Ryan,08-04-2002,Easton Shields,1054 1010 1010,Female,asfdasdfjkh@gmail.com,8987443818,Mogappair,Chennai,CHANDIGHR,384993
Journey George,15-01-2001,Laney Castaneda,1055 1010 1010,Male,asfdasdfjkh@gmail.com,8987443819,Mogappair,Chennai,CHANDIGHR,384994
Keyla Barnes,08-03-2001,Rebekah Scott,1056 1010 1010,Female,asfdasdfjkh@gmail.com,8987443820,Mogappair,Chennai,CHANDIGHR,384995
Zion Doyle,14-03-2001,Owen Lam,1057 1010 1010,Female,asfdasdfjkh@gmail.com,8987443821,Mogappair,Chennai,CHANDIGHR,384996
Rihanna Burke,10-06-2001,Liberty Kirby,1058 1010 1010,Male,asfdasdfjkh@gmail.com,8987443822,Mogappair,Chennai,CHANDIGHR,384997
Shannon Hanna,05-07-2001,Madilynn Rojas,1059 1010 1010,Female,asfdasdfjkh@gmail.com,8987443823,Mogappair,Chennai,CHANDIGHR,384998
Grant Harper,10-09-2001,Zavier Lloyd,1060 1010 1010,Male,asfdasdfjkh@gmail.com,8987443824,Mogappair,Chennai,CHANDIGHR,384999
Maxwell Reilly,07-10-2001,Yazmin Griffin,1061 1010 1010,Female,asfdasdfjkh@gmail.com,8987443825,Mogappair,Chennai,CHANDIGHR,385000
Riya Dunlap,02-02-2002,Ansley Bautista,1062 1010 1010,Female,asfdasdfjkh@gmail.com,8987443826,Mogappair,Chennai,CHANDIGHR,385001
Thalia Montoya,08-04-2002,Shaun Boyle,1063 1010 1010,Male,asfdasdfjkh@gmail.com,8987443827,Mogappair,Chennai,CHANDIGHR,385002
Wilson Kent,15-01-2001,Eugene Lang,1064 1010 1010,Male,asfdasdfjkh@gmail.com,8987443828,Mogappair,Chennai,CHANDIGHR,385003
Olive Mullins,08-03-2001,Nyla Middleton,1065 1010 1010,Female,asfdasdfjkh@gmail.com,8987443829,Mogappair,Chennai,CHANDIGHR,385004
Deven Simmons,14-03-2001,Gracie Dyer,1066 1010 1010,Male,asfdasdfjkh@gmail.com,8987443830,Mogappair,Chennai,CHANDIGHR,385005
Emma Shepherd,10-06-2001,Haiden Montgomery,1067 1010 1010,Female,asfdasdfjkh@gmail.com,8987443831,Mogappair,Chennai,CHANDIGHR,385006
Donna Valenzuela,05-07-2001,Marina Rosario,1068 1010 1010,Female,asfdasdfjkh@gmail.com,8987443832,Mogappair,Chennai,CHANDIGHR,385007
Azul Kaiser,10-09-2001,Gage Marsh,1069 1010 1010,Female,asfdasdfjkh@gmail.com,8987443833,Mogappair,Chennai,CHANDIGHR,385008
Amina Brandt,07-10-2001,Amiyah Merritt,1070 1010 1010,Male,asfdasdfjkh@gmail.com,8987443834,Mogappair,Chennai,CHANDIGHR,385009
Dangelo Everett,02-02-2002,Hazel Bridges,1071 1010 1010,Female,asfdasdfjkh@gmail.com,8987443835,Mogappair,Chennai,CHANDIGHR,385010
Virginia Kramer,08-04-2002,Sergio Graves,1072 1010 1010,Male,asfdasdfjkh@gmail.com,8987443836,Mogappair,Chennai,CHANDIGHR,385011
Chris Mcfarland,15-01-2001,Roy Jenkins,1073 1010 1010,Female,asfdasdfjkh@gmail.com,8987443837,Mogappair,Chennai,CHANDIGHR,385012
Makenzie Oneal,08-03-2001,Austin Garrison,1074 1010 1010,Male,asfdasdfjkh@gmail.com,8987443838,Mogappair,Chennai,CHANDIGHR,385013
Sariah Bass,14-03-2001,Alice Oconnor,1075 1010 1010,Female,asfdasdfjkh@gmail.com,8987443839,Mogappair,Chennai,CHANDIGHR,385014
Santino Houston,10-06-2001,Deandre Abbott,1076 1010 1010,Female,asfdasdfjkh@gmail.com,8987443840,Mogappair,Chennai,CHANDIGHR,385015
Danica Little,05-07-2001,Demarion Shea,1077 1010 1010,Male,asfdasdfjkh@gmail.com,8987443841,Mogappair,Chennai,CHANDIGHR,385016
Selah Gamble,10-09-2001,Luz Duarte,1078 1010 1010,Male,asfdasdfjkh@gmail.com,8987443842,Mogappair,Chennai,CHANDIGHR,385017
Camron Krueger,07-10-2001,Lane Hess,1079 1010 1010,Male,asfdasdfjkh@gmail.com,8987443843,Mogappair,Chennai,CHANDIGHR,385018
Alden Drake,02-02-2002,Tess Diaz,1080 1010 1010,Female,asfdasdfjkh@gmail.com,8987443844,Mogappair,Chennai,CHANDIGHR,385019
Alisa Guerra,08-04-2002,Yahir Brady,1081 1010 1010,Female,asfdasdfjkh@gmail.com,8987443845,Mogappair,Chennai,CHANDIGHR,385020
Annika Gomez,15-01-2001,Omar Gibson,1082 1010 1010,Male,asfdasdfjkh@gmail.com,8987443846,Mogappair,Chennai,CHANDIGHR,385021
Cohen House,08-03-2001,Jaden English,1083 1010 1010,Female,asfdasdfjkh@gmail.com,8987443847,Mogappair,Chennai,CHANDIGHR,385022
Angela Brock,14-03-2001,Kamari Brown,1084 1010 1010,Male,asfdasdfjkh@gmail.com,8987443848,Mogappair,Chennai,CHANDIGHR,385023
Trevor Wood,10-06-2001,Beckett Sexton,1085 1010 1010,Male,asfdasdfjkh@gmail.com,8987443849,Mogappair,Chennai,CHANDIGHR,385024
Sebastian Hensley,05-07-2001,Guillermo Fowler,1086 1010 1010,Female,asfdasdfjkh@gmail.com,8987443850,Mogappair,Chennai,CHANDIGHR,385025
Jazlene Harvey,10-09-2001,Shyanne Huff,1087 1010 1010,Male,asfdasdfjkh@gmail.com,8987443851,Mogappair,Chennai,CHANDIGHR,385026
Deon Willis,07-10-2001,Kaylie Nunez,1088 1010 1010,Female,asfdasdfjkh@gmail.com,8987443852,Mogappair,Chennai,CHANDIGHR,385027
Rafael Cameron,02-02-2002,Carolyn Lin,1089 1010 1010,Male,asfdasdfjkh@gmail.com,8987443853,Mogappair,Chennai,CHANDIGHR,385028
Alessandro Newton,08-04-2002,Deacon Christian,1090 1010 1010,Female,asfdasdfjkh@gmail.com,8987443854,Mogappair,Chennai,CHANDIGHR,385029
Cooper Lane,15-01-2001,Griffin Daniel,1091 1010 1010,Male,asfdasdfjkh@gmail.com,8987443855,Mogappair,Chennai,CHANDIGHR,385030
Olive Benson,08-03-2001,Jonathan Crane,1092 1010 1010,Female,asfdasdfjkh@gmail.com,8987443856,Mogappair,Chennai,CHANDIGHR,385031
Demetrius Herring,14-03-2001,Teagan Oliver,1093 1010 1010,Female,asfdasdfjkh@gmail.com,8987443857,Mogappair,Chennai,CHANDIGHR,385032
Erica Forbes,10-06-2001,Alexander Maddox,1094 1010 1010,Female,asfdasdfjkh@gmail.com,8987443858,Mogappair,Chennai,CHANDIGHR,385033
Alexandra Moses,05-07-2001,Kassandra Price,1095 1010 1010,Male,asfdasdfjkh@gmail.com,8987443859,Mogappair,Chennai,CHANDIGHR,385034
Kenna Watts,10-09-2001,Hunter Carrillo,1096 1010 1010,Female,asfdasdfjkh@gmail.com,8987443860,Mogappair,Chennai,CHANDIGHR,385035
Jovany Stone,07-10-2001,Skyler Tate,1097 1010 1010,Female,asfdasdfjkh@gmail.com,8987443861,Mogappair,Chennai,CHANDIGHR,385036
Selah Brandt,02-02-2002,Franklin Moss,1098 1010 1010,Male,asfdasdfjkh@gmail.com,8987443862,Mogappair,Chennai,CHANDIGHR,385037
Meghan Hancock,08-04-2002,Cheyenne Noble,1099 1010 1010,Male,asfdasdfjkh@gmail.com,8987443863,Mogappair,Chennai,CHANDIGHR,385038
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
